~NAME~,~SEARCH TERM~,~SEASON~,~EPISODE OFFSET~,~STORAGE DRIVE LETTER~
ACCA 13th Ward Observation Department,acca,01,0,H
Aho Girl,aho girl,01,0,F
Akiba's Trip The Animation,akiba's trip,01,0,H
Alice to Zouroku,zouroku,01,0,F
All Out!!,all out,01,0,H
Ballroom e Youkoso,ballroom e youkoso,01,0,H
Bernard-jou Iwaku,bernard,01,0,H
Berserk (2016),berserk,02,12,H
Bloodivores,bloodivores,01,0,H
Blue Exorcist,ao no exorcist,02,0,H
Boruto (Naruto Next Generations),boruto,01,0,F
Bungou Stray Dogs,bungou,01,0,H
Busou Shoujo Machiavellianism,busou shoujo machiavellianism,01,0,F
Castlevania,castlevania,01,0,H
Centaur no Nayami,centaur no nayami,01,0,H
Chain Chronicle,chain chronicle,01,0,H
Chaos;Child,chaos;child,01,0,H
Clockwork Planet,clockwork planet,01,0,F
Chi,koneko,03,0,H
Drifters (2016),drifters,01,0,H
Dungeon ni Deai o Motomeru no wa Machigatte Iru Darou ka Gaiden Sword Oratoria,sword oratoria,01,0,F
elDLIVE,eldlive,01,0,H
Eromanga-sensei,eromanga,01,0,F
Flip Flappers,flappers,01,0,H
Fukumenkei Noise,fukumenkei noise,01,0,F
Fuuka,fuuka,01,0,H
Gabriel DropOut,gabriel dropout,01,0,H
Gamers!,gamers!,01,0,F
Gin no Guardian,gin no guardian,01,0,F
Girlish Number,girlish number,01,0,H
Haikyuu!!,haikyuu!!,03,0,H
Hajimete no Gal,hajimete no gal,01,0,F
Hand Shakers,hand shakers,01,0,H
Hibike! Euphonium,euphonium,02,0,H
Hinako Note,hinako note,01,0,F
Interviews with Monster Girls,demi-chan wa kataritai,01,0,H
Isekai Shokudou,isekai shokudou,01,0,F
Jigoku Shoujo,jigoku shoujo,02,0,F
Jikan no Shihaisha,jikan no shihaisha,01,0,F
JoJo's Bizarre Adventure,bizarre adventure,03,0,H
Katsugeki Touken Ranbu,katsugeki touken ranbu,01,0,F
Keijo!!!!!!!!,keijo,01,0,H
Knight's & Magic,knight's & magic,01,0,F
Koi to Uso,koi to uso,01,0,F
Konbini Kareshi,konbini kareshi,01,0,F
Kono Subarashii Sekai ni Shukufuku wo!,kono subarashii,02,0,H
Koro-sensei Quest!,koro-sensei,01,0,H
Little Witch Academia,little witch academia,01,0,H
Made in Abyss,made in abyss,01,0,H
Mahou Shoujo Ikusei Keikaku,ikusei keikaku,01,0,H
Masamune-kun no Revenge,masamune-kun,01,0,H
Miss Kobayashi's Dragon Maid,chi no maid dragon,01,0,H
Mobile Suit Gundam - Iron Blooded Orphans,blooded orphans,01,0,H
Mobile Suit Gundam Thunderbolt,gundam thunderbolt,02,0,H
Monster Hunter Stories Ride On,monster hunter,01,0,H
Nana Maru San Batsu,nana maru san batsu,01,0,F
Nanbaka,nanbaka,02,13,H
Natsume Yuujinchou,yuujinchou,06,0,H
New Game!,new game!!,02,0,H
Nora to Oujo no Noraneko Heart,nora to oujo no noraneko heart,01,0,F
Okusama ga Seitokaichou!,okusama,02,0,H
One Piece,one piece,19,779,F
One Room,one room,01,0,H
Oushitsu Kyoushi Haine,oushitsu kyoushi haine,01,0,F
Piace Watashi no Italian,watashi no italian,01,0,H
Princess Principal,princess principal,01,0,F
Pokemon,pocket monsters,18,0,F
Re Creators,creators,01,0,F
Regalia - The Three Sacred Stars,regalia,01,0,H
Renai Boukun,renai boukun,01,0,F
Rokudenashi Majutsu Koushi to Akashic Records,rokudenashi majutsu,01,0,F
Rewrite,rewrite,01,0,H
Room Mate,room mate,01,0,F
